Timestamp,MTGO Username,Decklist Name,Wins,Losses,Games Played,,
10/1/2016 5:04:52,gold02,SummerHarvestPost,0,1,1,,Total Runs Completed:
10/1/2016 8:07:20,IHeartJesus666,Artifect Control,0,2,2,,24
10/1/2016 11:55:28,MadOlaf,Temur Ascendancy,0,1,1,,
10/1/2016 13:01:40,TheLastFish,WUFinity,0,0,0,,
10/1/2016 20:11:31,Pandorable,UR Eldraziposts,2,3,5,,
10/1/2016 23:43:33,Kazaxat,Near Death Wish,1,4,5,,
10/1/2016 23:59:07,endidymion,BUGorger1.1,1,2,3,,
10/2/2016 0:15:59,Dragonas77,G/B Necrotic Ooze,5,0,5,,
10/2/2016 12:52:23,Zerve,UR Cephalid Tempo,0,0,0,,
10/2/2016 13:08:33,Zerve,UR Cephalid s2,0,0,0,,
10/2/2016 13:18:29,Evilhex,Golgari Connectins,0,0,0,,
10/2/2016 16:08:24,Pepperized,Izzet Counterburn,0,0,0,,
10/2/2016 21:29:03,endidymion,StuffyMWC,1,1,2,,
10/2/2016 22:37:43,Ethae,Elfball,2,1,3,,
10/3/2016 18:37:27,QuickAGiantRabbit,MUC,4,1,5,,
10/3/2016 19:29:14,swahili,GB Ooze,1,0,1,,
10/3/2016 20:25:19,Kylorin,Jeskai Sunforger V1,0,0,0,,
10/3/2016 20:42:47,Pandorable,Grixis Spells,0,1,1,,
10/3/2016 22:58:22,JewishGainz,Bee Gees (Golgari Aggro),0,0,0,,
10/4/2016 0:23:30,j_meka,Wildfire v1,3,2,5,,
10/4/2016 1:23:17,crazybaloth,Balancing Act,3,2,5,,
10/4/2016 17:25:33,Dragonas77,G/B Necrotic Ooze V2,3,2,5,,
10/4/2016 19:36:51,Alandorf,RDW,3,2,5,,
10/4/2016 22:21:09,ThereCameAHero,Devo Red,0,0,0,,
10/4/2016 22:29:03,anon1212,docent,1,2,3,,
10/5/2016 16:20:50,Dakotarino,GB Necrotic Ooze Combo,1,1,2,,
10/5/2016 17:00:30,m0o0o0se,Sultai Emerge,4,1,5,,
10/5/2016 18:01:47,MrCello,Endless Night,0,1,1,,
10/6/2016 17:03:18,BobtheBalder,Reanimator,2,0,2,,
10/6/2016 17:05:44,bakert99,Izzet Dragon,3,2,5,,
10/6/2016 18:10:51,Dragonas77,U/B Reap,4,1,5,,
10/6/2016 18:53:40,crazybaloth,UG Madness,3,2,5,,
10/6/2016 20:36:32,Little,Wildfire,0,0,0,,
10/6/2016 22:41:54,j_meka,Locket Storm v1,3,2,5,,
10/6/2016 23:03:42,bakert99,Marsh Dragon,2,3,5,,
10/7/2016 13:36:59,ConsiderPhlebas,Mono Black Infect,1,1,2,,
10/8/2016 16:10:36,Dragonas77,Dimir Control,4,1,5,,
10/8/2016 18:21:47,Caretaker72,BG Nightmare Combat,1,3,4,,
10/9/2016 15:21:38,QuickAGiantRabbit,The Machine,0,0,0,,
10/9/2016 16:57:12,crazybaloth,monoU 8post,5,0,5,,
10/10/2016 9:33:31,Gabbalis,"I am the Manascrew (Koo, Koo, Kachoo)",0,1,1,,
10/10/2016 15:08:12,Kazaxat,Impromptu Congregation,0,2,2,,
10/11/2016 11:44:02,Spacecrow,UG Madness,0,1,1,,
10/11/2016 16:13:13,fleshgolem,Mono U 8Post,0,0,0,,
10/11/2016 20:22:46,SirPollux,Grixis Prowess,0,2,2,,
10/13/2016 0:33:43,spuds314,Dreadful Nic Fit,0,0,0,,
10/13/2016 10:18:35,silasary,Vampire Allies,0,3,3,,
10/15/2016 10:51:07,sneakycheese,UWslivers,0,3,3,,
10/15/2016 16:08:31,Dragonas77,Dimir Control V2,4,1,5,,
10/15/2016 23:58:36,Pastramionbri,UB Infect,0,1,1,,
10/17/2016 23:41:12,magma728,Battle of Wits,2,3,5,,
10/18/2016 17:19:44,Sandcry,Golgari Counters,0,1,1,,
10/18/2016 20:48:05,swahili,Lich Bloom,0,1,1,,
10/18/2016 23:32:46,GIR799,Temur Eldrazi,0,2,2,,
10/21/2016 16:37:23,bakert99,Cruiseless Dragon,4,1,5,,
10/23/2016 3:43:26,endidymion,UW Touch,1,3,4,,
10/23/2016 12:20:24,bakert99,Worldgorger Dragon Combo,2,3,5,,
10/23/2016 13:06:16,magma728,The Gate,4,1,5,,
10/23/2016 14:07:19,swahili,Izzet Blitz,1,1,2,,
10/23/2016 15:50:19,Commeradicore,Sphinx Reanimator,0,0,0,,
10/23/2016 19:31:06,Lyleswann,PennyDreadfulBraids,0,1,1,,
10/23/2016 20:15:17,Mmurphy123091,U/B control,0,1,1,,
10/23/2016 20:45:27,Dragonas77,Mono Blue Martyr,3,2,5,,
10/23/2016 21:32:45,crazybaloth,vampires,5,0,5,,
10/24/2016 16:39:49,bakert99,UG Flash,2,2,4,,
10/24/2016 18:19:07,magma728,Ghazi Glare,1,2,3,,
10/25/2016 13:12:48,j_meka,RG Madness v1,3,2,5,,
10/25/2016 16:18:45,benwaeseperlman,Jund (work in progress),0,0,0,,
10/26/2016 13:54:52,GONADKING,PD Blackstuff,0,0,0,,
10/28/2016 21:42:01,Therecameahero,Dimir Control,0,0,0,,
10/29/2016 4:15:22,stash86,Bat Sucks,0,2,2,,
10/29/2016 4:25:32,bakert99,Worldgorger Dragon Combo 2,2,0,2,,
10/29/2016 21:22:03,wappla,Bant Company,1,0,1,,
10/30/2016 16:44:00,YOB,Mono-Red Goblinsnipe,0,0,0,,
10/30/2016 21:03:59,littlefield,I NEED A HERO,0,0,0,,